FullGeoName,Year,Travel status,County,Count,Legend,Notes
"AL, Autauga",2010 - 2023,All,01001,1 to 4,1 to 4,"AL, Autauga County"
"AL, Baldwin",2010 - 2023,All,01003,1 to 4,1 to 4,"AL, Baldwin County"
"AL, Chilton",2010 - 2023,All,01021,1 to 4,1 to 4,"AL, Chilton County"
"AL, Elmore",2010 - 2023,All,01051,1 to 4,1 to 4,"AL, Elmore County"
"AL, Franklin",2010 - 2023,All,01059,1 to 4,1 to 4,"AL, Franklin County"
"AL, Lauderdale",2010 - 2023,All,01077,1 to 4,1 to 4,"AL, Lauderdale County"
"AL, Mobile",2010 - 2023,All,01097,1 to 4,1 to 4,"AL, Mobile County"
"AL, Morgan",2010 - 2023,All,01103,1 to 4,1 to 4,"AL, Morgan County"
"AL, Shelby",2010 - 2023,All,01117,1 to 4,1 to 4,"AL, Shelby County"
"AL, Tuscaloosa",2010 - 2023,All,01125,1 to 4,1 to 4,"AL, Tuscaloosa County"
"AK, Fairbanks North Star Borough",2010 - 2023,All,02090,1 to 4,1 to 4,"AK, Fairbanks North Star Borough"
"AK, Matanuska-susitna Borough",2010 - 2023,All,02170,1 to 4,1 to 4,"AK, Matanuska-Susitna Borough"
"AZ, Cochise",2010 - 2023,All,04003,1 to 4,1 to 4,"AZ, Cochise County"
"AZ, Gila",2010 - 2023,All,04007,1 to 4,1 to 4,"AZ, Gila County"
"AZ, Mohave",2010 - 2023,All,04015,1 to 4,1 to 4,"AZ, Mohave County"
"AZ, Santa Cruz",2010 - 2023,All,04023,1 to 4,1 to 4,"AZ, Santa Cruz County"
"AZ, Yavapai",2010 - 2023,All,04025,1 to 4,1 to 4,"AZ, Yavapai County"
"AR, Chicot",2010 - 2023,All,05017,1 to 4,1 to 4,"AR, Chicot County"
"AR, Greene",2010 - 2023,All,05055,1 to 4,1 to 4,"AR, Greene County"
"AR, Madison",2010 - 2023,All,05087,1 to 4,1 to 4,"AR, Madison County"
"AR, Pope",2010 - 2023,All,05115,1 to 4,1 to 4,"AR, Pope County"
"AR, Pulaski",2010 - 2023,All,05119,1 to 4,1 to 4,"AR, Pulaski County"
"AR, Saline",2010 - 2023,All,05125,1 to 4,1 to 4,"AR, Saline County"
"AR, Sebastian",2010 - 2023,All,05131,1 to 4,1 to 4,"AR, Sebastian County"
"AR, Sevier",2010 - 2023,All,05133,1 to 4,1 to 4,"AR, Sevier County"
"AR, Union",2010 - 2023,All,05139,1 to 4,1 to 4,"AR, Union County"
"CA, Amador",2010 - 2023,All,06005,1 to 4,1 to 4,"CA, Amador County"
"CA, Colusa",2010 - 2023,All,06011,1 to 4,1 to 4,"CA, Colusa County"
"CA, Humboldt",2010 - 2023,All,06023,1 to 4,1 to 4,"CA, Humboldt County"
"CA, Imperial",2010 - 2023,All,06025,1 to 4,1 to 4,"CA, Imperial County"
