FullGeoName,Year,County,Activity,Total human disease cases,Neuroinvasive disease cases
"AL, Autauga",2003-2022,01001,Non-human activity,0,0
"AL, Baldwin",2003-2022,01003,Human disease cases and non-human activity,4,4
"AL, Bibb",2003-2022,01007,Non-human activity,0,0
"AL, Bullock",2003-2022,01011,Non-human activity,0,0
"AL, Butler",2003-2022,01013,Non-human activity,0,0
"AL, Cherokee",2003-2022,01019,Non-human activity,0,0
"AL, Chilton",2003-2022,01021,Non-human activity,0,0
"AL, Choctaw",2003-2022,01023,Non-human activity,0,0
"AL, Clarke",2003-2022,01025,Non-human activity,0,0
"AL, Clay",2003-2022,01027,Non-human activity,0,0
"AL, Conecuh",2003-2022,01035,Human disease cases and non-human activity,1,1
"AL, Coosa",2003-2022,01037,Non-human activity,0,0
"AL, Covington",2003-2022,01039,Non-human activity,0,0
"AL, Cullman",2003-2022,01043,Non-human activity,0,0
"AL, Dale",2003-2022,01045,Non-human activity,0,0
"AL, Dallas",2003-2022,01047,Non-human activity,0,0
"AL, De Kalb",2003-2022,01049,Non-human activity,0,0
"AL, Elmore",2003-2022,01051,Non-human activity,0,0
"AL, Escambia",2003-2022,01053,Human disease cases and non-human activity,2,2
"AL, Fayette",2003-2022,01057,Non-human activity,0,0
"AL, Geneva",2003-2022,01061,Non-human activity,0,0
"AL, Greene",2003-2022,01063,Non-human activity,0,0
"AL, Hale",2003-2022,01065,Non-human activity,0,0
"AL, Henry",2003-2022,01067,Non-human activity,0,0
"AL, Houston",2003-2022,01069,Non-human activity,0,0
"AL, Jackson",2003-2022,01071,Non-human activity,0,0
"AL, Jefferson",2003-2022,01073,Non-human activity,0,0
"AL, Lawrence",2003-2022,01079,Non-human activity,0,0
"AL, Lee",2003-2022,01081,Non-human activity,0,0
"AL, Limestone",2003-2022,01083,Non-human activity,0,0
"AL, Lowndes",2003-2022,01085,Non-human activity,0,0
"AL, Macon",2003-2022,01087,Non-human activity,0,0
"AL, Marengo",2003-2022,01091,Non-human activity,0,0
"AL, Marion",2003-2022,01093,Non-human activity,0,0
"AL, Marshall",2003-2022,01095,Non-human activity,0,0
"AL, Mobile",2003-2022,01097,Human disease cases and non-human activity,1,1
"AL, Monroe",2003-2022,01099,Non-human activity,0,0
"AL, Montgomery",2003-2022,01101,Non-human activity,0,0
"AL, Morgan",2003-2022,01103,Non-human activity,0,0
"AL, Perry",2003-2022,01105,Non-human activity,0,0
"AL, Pike",2003-2022,01109,Non-human activity,0,0
"AL, Russell",2003-2022,01113,Non-human activity,0,0
"AL, Tuscaloosa",2003-2022,01125,Non-human activity,0,0
"AL, Walker",2003-2022,01127,Non-human activity,0,0
"AL, Washington",2003-2022,01129,Non-human activity,0,0
"AL, Wilcox",2003-2022,01131,Non-human activity,0,0
"AL, Winston",2003-2022,01133,Non-human activity,0,0
"AR, Arkansas",2003-2022,05001,Non-human activity,0,0
"AR, Benton",2003-2022,05007,Non-human activity,0,0
"AR, Boone",2003-2022,05009,Non-human activity,0,0
"AR, Chicot",2003-2022,05017,Non-human activity,0,0
"AR, Desha",2003-2022,05041,Non-human activity,0,0
"AR, Garland",2003-2022,05051,Non-human activity,0,0
"AR, Greene",2003-2022,05055,Non-human activity,0,0
"AR, Hot Spring",2003-2022,05059,Non-human activity,0,0
"AR, Howard",2003-2022,05061,Non-human activity,0,0
"AR, Independence",2003-2022,05063,Non-human activity,0,0
"AR, Izard",2003-2022,05065,Non-human activity,0,0
"AR, Jefferson",2003-2022,05069,Non-human activity,0,0
"AR, Little River",2003-2022,05081,Non-human activity,0,0
"AR, Lonoke",2003-2022,05085,Non-human activity,0,0
"AR, Madison",2003-2022,05087,Non-human activity,0,0
"AR, Montgomery",2003-2022,05097,Non-human activity,0,0
"AR, Ouachita",2003-2022,05103,Non-human activity,0,0
"AR, Pope",2003-2022,05115,Non-human activity,0,0
"AR, Prairie",2003-2022,05117,Non-human activity,0,0
"AR, Pulaski",2003-2022,05119,Non-human activity,0,0
"AR, St Francis",2003-2022,05123,Non-human activity,0,0
"AR, Saline",2003-2022,05125,Non-human activity,0,0
"AR, Scott",2003-2022,05127,Non-human activity,0,0
"AR, Sevier",2003-2022,05133,Human disease cases and non-human activity,1,1
"AR, Stone",2003-2022,05137,Non-human activity,0,0
"AR, Union",2003-2022,05139,Non-human activity,0,0
"AR, Van Buren",2003-2022,05141,Non-human activity,0,0
"AR, White",2003-2022,05145,Non-human activity,0,0
"AR, Yell",2003-2022,05149,Non-human activity,0,0
"CT, Fairfield",2003-2022,09001,Non-human activity,0,0
"CT, Hartford",2003-2022,09003,Non-human activity,0,0
"CT, Middlesex",2003-2022,09007,Human disease cases and non-human activity,1,1
"CT, New Haven",2003-2022,09009,Non-human activity,0,0
"CT, New London",2003-2022,09011,Human disease cases and non-human activity,3,3
"CT, Tolland",2003-2022,09013,Non-human activity,0,0
"CT, Windham",2003-2022,09015,Human disease cases and non-human activity,1,1
"DE, Kent",2003-2022,10001,Non-human activity,0,0
"DE, New Castle",2003-2022,10003,Non-human activity,0,0
"DE, Sussex",2003-2022,10005,Non-human activity,0,0
"FL, Alachua",2003-2022,12001,Non-human activity,0,0
"FL, Baker",2003-2022,12003,Non-human activity,0,0
"FL, Bay",2003-2022,12005,Human disease cases and non-human activity,1,1
"FL, Bradford",2003-2022,12007,Human disease cases and non-human activity,1,1
"FL, Brevard",2003-2022,12009,Non-human activity,0,0
"FL, Calhoun",2003-2022,12013,Non-human activity,0,0
