FullGeoName,Year,County,Activity,Total human disease cases,Neuroinvasive disease cases
"AL, Escambia",2003-2022,01053,Human disease cases,1,1
"AL, Jefferson",2003-2022,01073,Human disease cases,1,1
"AL, Talladega",2003-2022,01121,Human disease cases,1,1
"CT, Fairfield",2003-2022,09001,Non-human activity,0,0
"FL, Hamilton",2003-2022,12047,Human disease cases,1,1
"FL, Hillsborough",2003-2022,12057,Human disease cases,3,2
"FL, Miami-Dade",2003-2022,12086,Human disease cases,1,1
"FL, Pinellas",2003-2022,12103,Human disease cases,1,1
"GA, Bibb",2003-2022,13021,Human disease cases,1,1
"GA, Brantley",2003-2022,13025,Human disease cases,1,1
"GA, Catoosa",2003-2022,13047,Human disease cases,1,1
"GA, Cherokee",2003-2022,13057,Human disease cases,2,2
"GA, De Kalb",2003-2022,13089,Human disease cases,2,2
"GA, Fannin",2003-2022,13111,Human disease cases,1,1
"GA, Forsyth",2003-2022,13117,Human disease cases,2,2
"GA, Franklin",2003-2022,13119,Human disease cases,1,1
"GA, Fulton",2003-2022,13121,Human disease cases,1,1
"GA, Lowndes",2003-2022,13185,Human disease cases,3,2
"GA, Macon",2003-2022,13193,Human disease cases,1,1
"GA, Murray",2003-2022,13213,Human disease cases,1,0
"GA, Muscogee",2003-2022,13215,Human disease cases,1,1
"GA, Oconee",2003-2022,13219,Human disease cases,1,1
"GA, Rabun",2003-2022,13241,Human disease cases,4,3
"GA, Spalding",2003-2022,13255,Human disease cases,1,0
"GA, Stephens",2003-2022,13257,Human disease cases,1,1
"GA, Union",2003-2022,13291,Human disease cases,1,1
"GA, White",2003-2022,13311,Human disease cases,1,1
"IL, Carroll",2003-2022,17015,Human disease cases,2,2
"IL, Cook",2003-2022,17031,Human disease cases,5,4
"IL, De Kalb",2003-2022,17037,Human disease cases,1,1
"IL, Fulton",2003-2022,17057,Human disease cases,2,2
"IL, Jo Daviess",2003-2022,17085,Human disease cases,3,2
"IL, Mchenry",2003-2022,17111,Human disease cases,2,2
"IL, Massac",2003-2022,17127,Human disease cases,1,1
"IL, Ogle",2003-2022,17141,Human disease cases,1,1
"IL, Peoria",2003-2022,17143,Human disease cases,3,3
"IL, Pike",2003-2022,17149,Human disease cases,1,1
"IL, Rock Island",2003-2022,17161,Human disease cases,2,2
"IL, Stephenson",2003-2022,17177,Human disease cases,1,0
"IL, Tazewell",2003-2022,17179,Human disease cases,2,2
"IN, Allen",2003-2022,18003,Human disease cases,3,3
"IN, Decatur",2003-2022,18031,Human disease cases,3,3
"IN, Delaware",2003-2022,18035,Human disease cases,1,1
"IN, Franklin",2003-2022,18047,Human disease cases,1,0
"IN, Marion",2003-2022,18097,Human disease cases,1,1
"IN, Morgan",2003-2022,18109,Human disease cases,1,1
"IN, Ripley",2003-2022,18137,Human disease cases,1,1
"IN, St Joseph",2003-2022,18141,Human disease cases,1,1
"IN, Shelby",2003-2022,18145,Human disease cases,2,1
"IN, Wayne",2003-2022,18177,Human disease cases,1,1
"IA, Allamakee",2003-2022,19005,Human disease cases,1,1
"IA, Clayton",2003-2022,19043,Human disease cases,2,2
"IA, Lucas",2003-2022,19117,Human disease cases,1,1
"IA, Winneshiek",2003-2022,19191,Human disease cases,1,1
"KS, Leavenworth",2003-2022,20103,Human disease cases,1,1
"KY, Bell",2003-2022,21013,Human disease cases,1,1
"KY, Clark",2003-2022,21049,Human disease cases,1,1
"KY, Harlan",2003-2022,21095,Human disease cases,1,1
"KY, Pike",2003-2022,21195,Human disease cases,4,4
"KY, Pulaski",2003-2022,21199,Human disease cases,1,1
"KY, Wayne",2003-2022,21231,Human disease cases,2,2
"KY, Woodford",2003-2022,21239,Human disease cases,1,1
"LA, Beauregard Parish",2003-2022,22011,Human disease cases,1,1
"LA, Calcasieu Parish",2003-2022,22019,Human disease cases,1,1
"LA, East Baton Rouge Parish",2003-2022,22033,Human disease cases,1,1
"LA, East Feliciana Parish",2003-2022,22037,Human disease cases,1,1
"LA, Plaquemines Parish",2003-2022,22075,Human disease cases,1,1
"LA, Rapides Parish",2003-2022,22079,Human disease cases,1,1
"LA, St Tammany Parish",2003-2022,22103,Human disease cases,3,2
"MD, Garrett",2003-2022,24023,Human disease cases,2,2
"MD, Harford",2003-2022,24025,Human disease cases,1,1
"MI, Genesee",2003-2022,26049,Human disease cases,4,4
"MI, Gratiot",2003-2022,26057,Human disease cases,1,0
"MI, Kalamazoo",2003-2022,26077,Human disease cases,1,1
"MI, Lenawee",2003-2022,26091,Human disease cases,1,1
"MI, Saginaw",2003-2022,26145,Human disease cases and non-human activity,1,1
"MN, Blue Earth",2003-2022,27013,Non-human activity,0,0
"MN, Brown",2003-2022,27015,Human disease cases,1,1
"MN, Carver",2003-2022,27019,Human disease cases,3,3
"MN, Dakota",2003-2022,27037,Human disease cases,1,1
"MN, Goodhue",2003-2022,27049,Human disease cases,1,1
"MN, Hennepin",2003-2022,27053,Human disease cases,4,4
"MN, Houston",2003-2022,27055,Human disease cases,2,2
"MN, Nicollet",2003-2022,27103,Human disease cases,1,1
"MN, Olmsted",2003-2022,27109,Human disease cases,3,3
"MN, Scott",2003-2022,27139,Human disease cases and non-human activity,5,5
"MN, Sibley",2003-2022,27143,Human disease cases,1,1
"MN, Stearns",2003-2022,27145,Human disease cases,1,1
"MN, Wabasha",2003-2022,27157,Human disease cases,1,1
"MN, Waseca",2003-2022,27161,Human disease cases,1,0
"MN, Winona",2003-2022,27169,Human disease cases,1,1
"MN, Wright",2003-2022,27171,Human disease cases,8,7
"MS, Adams",2003-2022,28001,Human disease cases,1,1
"MS, Amite",2003-2022,28005,Human disease cases,1,0
"MS, Grenada",2003-2022,28043,Human disease cases,1,1
"MS, Lauderdale",2003-2022,28075,Human disease cases,1,1
"MS, Madison",2003-2022,28089,Human disease cases,1,0
"MS, Warren",2003-2022,28149,Human disease cases,2,1
"MS, Washington",2003-2022,28151,Human disease cases,1,1
"MS, Yazoo",2003-2022,28163,Human disease cases,1,1
"MO, Jackson",2003-2022,29095,Human disease cases,1,1
"NJ, Passaic",2003-2022,34031,Non-human activity,0,0
"NY, Albany",2003-2022,36001,Human disease cases,1,0
"NY, Monroe",2003-2022,36055,Non-human activity,0,0
"NY, Nassau",2003-2022,36059,Non-human activity,0,0
"NY, Orange",2003-2022,36071,Non-human activity,0,0
"NC, Alamance",2003-2022,37001,Human disease cases,1,1
"NC, Ashe",2003-2022,37009,Human disease cases,1,1
"NC, Avery",2003-2022,37011,Human disease cases,2,2
"NC, Beaufort",2003-2022,37013,Human disease cases,1,1
"NC, Buncombe",2003-2022,37021,Human disease cases,98,97
"NC, Burke",2003-2022,37023,Human disease cases,2,2
"NC, Chatham",2003-2022,37037,Human disease cases,1,1
"NC, Cherokee",2003-2022,37039,Human disease cases,4,4
"NC, Columbus",2003-2022,37047,Human disease cases,1,1
"NC, Cumberland",2003-2022,37051,Human disease cases,1,1
"NC, Durham",2003-2022,37063,Human disease cases,2,2
"NC, Forsyth",2003-2022,37067,Human disease cases,1,1
"NC, Gaston",2003-2022,37071,Human disease cases,1,1
"NC, Graham",2003-2022,37075,Human disease cases,5,5
"NC, Haywood",2003-2022,37087,Human disease cases,38,38
"NC, Henderson",2003-2022,37089,Human disease cases,19,19
"NC, Jackson",2003-2022,37099,Human disease cases,44,44
"NC, Lincoln",2003-2022,37109,Human disease cases,1,1
"NC, Mcdowell",2003-2022,37111,Human disease cases,4,4
"NC, Macon",2003-2022,37113,Human disease cases,12,12
"NC, Madison",2003-2022,37115,Human disease cases,1,1
"NC, Mecklenburg",2003-2022,37119,Human disease cases,2,2
"NC, Mitchell",2003-2022,37121,Human disease cases,1,1
"NC, Nash",2003-2022,37127,Human disease cases,1,1
"NC, Onslow",2003-2022,37133,Human disease cases,1,1
"NC, Orange",2003-2022,37135,Human disease cases,1,1
"NC, Person",2003-2022,37145,Human disease cases,1,1
"NC, Polk",2003-2022,37149,Human disease cases,4,4
"NC, Rockingham",2003-2022,37157,Human disease cases,1,1
"NC, Rutherford",2003-2022,37161,Human disease cases,2,2
"NC, Swain",2003-2022,37173,Human disease cases,19,19
"NC, Transylvania",2003-2022,37175,Human disease cases,46,42
"NC, Union",2003-2022,37179,Human disease cases,1,1
"NC, Wake",2003-2022,37183,Human disease cases,2,2
"NC, Washington",2003-2022,37187,Human disease cases,1,1
"NC, Wilson",2003-2022,37195,Human disease cases,1,1
"NC, Yancey",2003-2022,37199,Human disease cases,5,5
"ND, Ward",2003-2022,38101,Non-human activity,0,0
"OH, Allen",2003-2022,39003,Human disease cases and non-human activity,4,4
"OH, Ashland",2003-2022,39005,Human disease cases,9,8
"OH, Ashtabula",2003-2022,39007,Human disease cases,4,4
"OH, Athens",2003-2022,39009,Human disease cases,4,3
"OH, Auglaize",2003-2022,39011,Human disease cases,2,2
"OH, Belmont",2003-2022,39013,Human disease cases,1,1
"OH, Butler",2003-2022,39017,Human disease cases,3,3
"OH, Carroll",2003-2022,39019,Human disease cases,2,2
"OH, Champaign",2003-2022,39021,Human disease cases,1,0
"OH, Columbiana",2003-2022,39029,Human disease cases,2,2
"OH, Coshocton",2003-2022,39031,Human disease cases,10,9
"OH, Crawford",2003-2022,39033,Human disease cases,4,4
"OH, Cuyahoga",2003-2022,39035,Human disease cases,5,4
"OH, Darke",2003-2022,39037,Human disease cases,1,1
"OH, Defiance",2003-2022,39039,Human disease cases,1,1
"OH, Delaware",2003-2022,39041,Human disease cases,13,11
"OH, Fairfield",2003-2022,39045,Human disease cases,15,14
"OH, Franklin",2003-2022,39049,Human disease cases,14,13
"OH, Geauga",2003-2022,39055,Human disease cases,5,3
"OH, Guernsey",2003-2022,39059,Human disease cases,5,4
"OH, Hamilton",2003-2022,39061,Human disease cases,3,3
"OH, Hancock",2003-2022,39063,Human disease cases,2,2
"OH, Hardin",2003-2022,39065,Human disease cases,1,1
"OH, Harrison",2003-2022,39067,Human disease cases,2,2
"OH, Highland",2003-2022,39071,Human disease cases,1,1
"OH, Hocking",2003-2022,39073,Human disease cases,8,8
"OH, Holmes",2003-2022,39075,Human disease cases,27,25
"OH, Jackson",2003-2022,39079,Human disease cases,5,4
"OH, Knox",2003-2022,39083,Human disease cases,15,12
"OH, Lake",2003-2022,39085,Human disease cases,3,3
"OH, Lawrence",2003-2022,39087,Human disease cases,1,1
"OH, Licking",2003-2022,39089,Human disease cases,20,19
"OH, Logan",2003-2022,39091,Human disease cases,3,3
"OH, Lorain",2003-2022,39093,Human disease cases,1,1
"OH, Lucas",2003-2022,39095,Human disease cases,1,1
"OH, Mahoning",2003-2022,39099,Human disease cases,7,7
"OH, Marion",2003-2022,39101,Human disease cases,6,6
"OH, Medina",2003-2022,39103,Human disease cases,4,4
"OH, Meigs",2003-2022,39105,Human disease cases,1,1
"OH, Mercer",2003-2022,39107,Human disease cases,1,1
"OH, Miami",2003-2022,39109,Human disease cases,3,3
"OH, Montgomery",2003-2022,39113,Human disease cases,4,4
"OH, Morgan",2003-2022,39115,Human disease cases,2,1
"OH, Morrow",2003-2022,39117,Human disease cases,12,12
"OH, Muskingum",2003-2022,39119,Human disease cases,20,18
"OH, Perry",2003-2022,39127,Human disease cases,12,12
"OH, Pickaway",2003-2022,39129,Human disease cases,2,1
"OH, Pike",2003-2022,39131,Human disease cases,8,7
"OH, Portage",2003-2022,39133,Human disease cases,4,3
"OH, Preble",2003-2022,39135,Human disease cases,3,3
"OH, Putnam",2003-2022,39137,Human disease cases,1,1
"OH, Richland",2003-2022,39139,Human disease cases,16,15
"OH, Ross",2003-2022,39141,Human disease cases,11,11
"OH, Sandusky",2003-2022,39143,Human disease cases,1,1
"OH, Scioto",2003-2022,39145,Human disease cases,3,3
"OH, Seneca",2003-2022,39147,Human disease cases,1,1
"OH, Shelby",2003-2022,39149,Human disease cases,4,4
"OH, Stark",2003-2022,39151,Human disease cases,13,12
"OH, Summit",2003-2022,39153,Human disease cases,10,10
"OH, Trumbull",2003-2022,39155,Human disease cases,6,5
"OH, Tuscarawas",2003-2022,39157,Human disease cases,11,11
"OH, Union",2003-2022,39159,Human disease cases,6,6
"OH, Vinton",2003-2022,39163,Human disease cases,5,5
"OH, Warren",2003-2022,39165,Human disease cases,3,2
"OH, Washington",2003-2022,39167,Human disease cases,5,5
"OH, Wayne",2003-2022,39169,Human disease cases,18,18
"OH, Williams",2003-2022,39171,Human disease cases,2,2
"OH, Wood",2003-2022,39173,Human disease cases,1,1
"RI, Kent",2003-2022,44003,Human disease cases,1,1
"RI, Newport",2003-2022,44005,Human disease cases,1,1
"SC, Beaufort",2003-2022,45013,Human disease cases,1,1
"SC, Cherokee",2003-2022,45021,Human disease cases,1,1
"SC, Greenville",2003-2022,45045,Human disease cases,2,2
"SC, Oconee",2003-2022,45073,Human disease cases,1,1
"SC, Spartanburg",2003-2022,45083,Human disease cases,1,1
"TN, Anderson",2003-2022,47001,Human disease cases,6,5
"TN, Bledsoe",2003-2022,47007,Human disease cases,1,1
"TN, Blount",2003-2022,47009,Human disease cases,4,4
"TN, Campbell",2003-2022,47013,Human disease cases,1,1
"TN, Carter",2003-2022,47019,Human disease cases,2,2
"TN, Claiborne",2003-2022,47025,Human disease cases,20,20
"TN, Cocke",2003-2022,47029,Human disease cases,9,9
"TN, Cumberland",2003-2022,47035,Human disease cases,8,8
"TN, Fentress",2003-2022,47049,Human disease cases,3,3
"TN, Grainger",2003-2022,47057,Human disease cases,9,9
"TN, Greene",2003-2022,47059,Human disease cases,2,2
"TN, Grundy",2003-2022,47061,Human disease cases,1,1
"TN, Hamblen",2003-2022,47063,Human disease cases,7,7
"TN, Hickman",2003-2022,47081,Human disease cases,2,2
"TN, Jefferson",2003-2022,47089,Human disease cases,13,12
"TN, Johnson",2003-2022,47091,Human disease cases,2,2
"TN, Knox",2003-2022,47093,Human disease cases,65,62
"TN, Loudon",2003-2022,47105,Human disease cases,4,4
"TN, Morgan",2003-2022,47129,Human disease cases,1,1
"TN, Overton",2003-2022,47133,Human disease cases,3,3
"TN, Putnam",2003-2022,47141,Human disease cases,2,2
"TN, Rhea",2003-2022,47143,Human disease cases,1,1
"TN, Roane",2003-2022,47145,Human disease cases,2,2
"TN, Robertson",2003-2022,47147,Human disease cases,2,2
"TN, Rutherford",2003-2022,47149,Human disease cases,2,2
"TN, Scott",2003-2022,47151,Human disease cases,1,1
"TN, Sevier",2003-2022,47155,Human disease cases,13,13
"TN, Shelby",2003-2022,47157,Human disease cases,2,2
"TN, Sullivan",2003-2022,47163,Human disease cases,1,1
"TN, Unicoi",2003-2022,47171,Human disease cases,2,2
"TN, Union",2003-2022,47173,Human disease cases,13,12
"TN, Warren",2003-2022,47177,Human disease cases,1,1
"TN, Washington",2003-2022,47179,Human disease cases,3,3
"TX, Bell",2003-2022,48027,Human disease cases,1,1
"TX, Dallas",2003-2022,48113,Non-human activity,0,0
"TX, Fort Bend",2003-2022,48157,Non-human activity,0,0
"TX, Hardin",2003-2022,48199,Human disease cases,1,1
"TX, Harris",2003-2022,48201,Human disease cases,2,2
"TX, Kleberg",2003-2022,48273,Human disease cases,1,1
"TX, Orange",2003-2022,48361,Non-human activity,0,0
"VA, Albemarle",2003-2022,51003,Human disease cases,1,1
"VA, Augusta",2003-2022,51015,Human disease cases,5,5
"VA, Dickenson",2003-2022,51051,Human disease cases,1,1
"VA, Fairfax",2003-2022,51059,Human disease cases,2,1
"VA, Henrico",2003-2022,51087,Human disease cases,1,1
"VA, Isle Of Wight",2003-2022,51093,Human disease cases,1,0
"VA, Rockingham",2003-2022,51165,Human disease cases,3,3
"VA, Tazewell",2003-2022,51185,Human disease cases,4,4
"VA, Wise",2003-2022,51195,Human disease cases,4,2
"VA, Alexandria City",2003-2022,51510,Human disease cases,1,1
"WV, Berkeley",2003-2022,54003,Non-human activity,0,0
"WV, Boone",2003-2022,54005,Human disease cases and non-human activity,9,9
"WV, Cabell",2003-2022,54011,Non-human activity,0,0
"WV, Clay",2003-2022,54015,Human disease cases,5,4
