FullGeoName,Year,County,Activity,Total human disease cases,Neuroinvasive disease cases
"AL, Colbert",2003-2022,01033,Non-human activity,0,0
"AL, Lee",2003-2022,01081,Human disease cases,1,1
"AL, Limestone",2003-2022,01083,Human disease cases,1,1
"AL, Mobile",2003-2022,01097,Human disease cases and non-human activity,1,0
"AL, Tuscaloosa",2003-2022,01125,Human disease cases,1,1
"AZ, Cochise",2003-2022,04003,Human disease cases and non-human activity,1,0
"AZ, Graham",2003-2022,04009,Non-human activity,0,0
"AZ, Greenlee",2003-2022,04011,Non-human activity,0,0
"AZ, La Paz",2003-2022,04012,Human disease cases and non-human activity,1,1
"AZ, Maricopa",2003-2022,04013,Human disease cases and non-human activity,74,58
"AZ, Mohave",2003-2022,04015,Human disease cases,1,0
"AZ, Pima",2003-2022,04019,Human disease cases and non-human activity,4,3
"AZ, Pinal",2003-2022,04021,Human disease cases and non-human activity,4,1
"AZ, Santa Cruz",2003-2022,04023,Non-human activity,0,0
"AZ, Yuma",2003-2022,04027,Non-human activity,0,0
"AR, Columbia",2003-2022,05027,Non-human activity,0,0
"AR, Crawford",2003-2022,05033,Human disease cases,1,1
"AR, Garland",2003-2022,05051,Human disease cases,2,2
"AR, Izard",2003-2022,05065,Human disease cases,1,1
"AR, Jefferson",2003-2022,05069,Human disease cases,3,3
"AR, Lawrence",2003-2022,05075,Human disease cases,2,2
"AR, Lee",2003-2022,05077,Human disease cases,1,1
"AR, Saline",2003-2022,05125,Human disease cases,1,1
"AR, Sebastian",2003-2022,05131,Human disease cases,1,1
"AR, Sharp",2003-2022,05135,Human disease cases,1,1
"AR, Stone",2003-2022,05137,Human disease cases,1,1
"AR, Woodruff",2003-2022,05147,Human disease cases,1,1
"CA, Butte",2003-2022,06007,Human disease cases and non-human activity,1,0
"CA, Fresno",2003-2022,06019,Human disease cases and non-human activity,10,9
"CA, Imperial",2003-2022,06025,Human disease cases and non-human activity,2,2
"CA, Inyo",2003-2022,06027,Non-human activity,0,0
"CA, Kern",2003-2022,06029,Human disease cases and non-human activity,8,6
"CA, Kings",2003-2022,06031,Non-human activity,0,0
"CA, Los Angeles",2003-2022,06037,Human disease cases and non-human activity,5,5
"CA, Madera",2003-2022,06039,Human disease cases and non-human activity,1,1
"CA, Marin",2003-2022,06041,Human disease cases,1,1
"CA, Merced",2003-2022,06047,Non-human activity,0,0
"CA, Orange",2003-2022,06059,Human disease cases and non-human activity,1,1
"CA, Placer",2003-2022,06061,Non-human activity,0,0
"CA, Riverside",2003-2022,06065,Non-human activity,0,0
"CA, Sacramento",2003-2022,06067,Human disease cases,2,2
"CA, San Bernardino",2003-2022,06071,Non-human activity,0,0
"CA, San Joaquin",2003-2022,06077,Human disease cases and non-human activity,1,0
"CA, Sonoma",2003-2022,06097,Human disease cases,1,1
"CA, Stanislaus",2003-2022,06099,Human disease cases and non-human activity,6,5
"CA, Tulare",2003-2022,06107,Human disease cases and non-human activity,4,4
"CA, Ventura",2003-2022,06111,Human disease cases,1,1
"CA, Yuba",2003-2022,06115,Non-human activity,0,0
"DC, Washington",2003-2022,11001,Human disease cases,2,0
"FL, Alachua",2003-2022,12001,Non-human activity,0,0
"FL, Bay",2003-2022,12005,Non-human activity,0,0
"FL, Brevard",2003-2022,12009,Non-human activity,0,0
"FL, Charlotte",2003-2022,12015,Non-human activity,0,0
"FL, Citrus",2003-2022,12017,Non-human activity,0,0
"FL, Clay",2003-2022,12019,Non-human activity,0,0
